model,MAE,RMSE,MAPE(%)
Naive,0.7950410029594784,0.936925802949982,3.2598480167524673
"ARIMA(0, 1, 2)",0.8133994717750184,0.9552128491276812,3.334605173712027
MovingAvg7,0.833455417373896,0.9724123764390615,3.41583502160009
SeasonalNaive7,0.9503934397247291,1.2406924583494572,3.9089705940735726
